trade_id,season,trade_date,gave,received,pick_season,pick_round,pick_number,conditional,pfr_id,pfr_name
1743,2023,4/27/23,BUF,JAX,2023,1,27,0,NA,NA
1743,2023,4/27/23,BUF,JAX,2023,4,130,0,NA,NA
1744,2023,4/28/23,TEN,ARI,2023,2,41,0,NA,NA
1744,2023,4/28/23,TEN,ARI,2023,3,72,0,NA,NA
1779,2023,4/29/23,BAL,CLE,2024,6,206,0,NA,NA
1744,2023,4/28/23,ARI,TEN,2023,2,33,0,NA,NA
1744,2023,4/28/23,ARI,TEN,2023,3,81,0,NA,NA
1745,2023,4/28/23,LV,IND,2023,2,38,0,NA,NA
1745,2023,4/28/23,LV,IND,2023,5,141,0,NA,NA
1745,2023,4/28/23,IND,LV,2023,2,35,0,NA,NA
1746,2023,4/28/23,IND,ATL,2023,2,38,0,NA,NA
1746,2023,4/28/23,ATL,IND,2023,2,44,0,NA,NA
1746,2023,4/28/23,ATL,IND,2023,4,110,0,NA,NA
1747,2023,4/28/23,GB,DET,2023,2,45,0,NA,NA
1747,2023,4/28/23,DET,GB,2023,2,48,0,NA,NA
1747,2023,4/28/23,DET,GB,2023,5,159,0,NA,NA
1748,2023,4/28/23,TB,GB,2023,2,50,0,NA,NA
1748,2023,4/28/23,TB,GB,2023,6,179,0,NA,NA
1748,2023,4/28/23,GB,TB,2023,2,48,0,NA,NA
1749,2023,4/28/23,KC,DET,2023,2,63,0,NA,NA
1749,2023,4/28/23,KC,DET,2023,4,122,0,NA,NA
1749,2023,4/28/23,KC,DET,2023,7,249,0,NA,NA
1749,2023,4/28/23,DET,KC,2023,2,55,0,NA,NA
1749,2023,4/28/23,DET,KC,2023,6,194,0,NA,NA
1750,2023,4/28/23,JAX,CHI,2023,2,56,0,NA,NA
1750,2023,4/28/23,CHI,JAX,2023,2,61,0,NA,NA
1750,2023,4/28/23,CHI,JAX,2023,5,136,0,NA,NA
1751,2023,4/28/23,PHI,HOU,2023,2,62,0,NA,NA
1751,2023,4/28/23,HOU,PHI,2023,3,65,0,NA,NA
1751,2023,4/28/23,HOU,PHI,2023,6,188,0,NA,NA
1751,2023,4/28/23,HOU,PHI,2023,7,230,0,NA,NA
1752,2023,4/28/23,DET,DEN,2023,2,63,0,NA,NA
1752,2023,4/28/23,DET,DEN,2023,6,183,0,NA,NA
1752,2023,4/28/23,DEN,DET,2023,3,68,0,NA,NA
1752,2023,4/28/23,DEN,DET,2023,4,139,0,NA,NA
1753,2023,4/28/23,LA,HOU,2023,3,69,0,NA,NA
1753,2023,4/28/23,HOU,LA,2023,3,73,0,NA,NA
1753,2023,4/28/23,HOU,LA,2023,5,161,0,NA,NA
1754,2023,4/28/23,NYG,LA,2023,3,89,0,NA,NA
1754,2023,4/28/23,NYG,LA,2023,4,128,0,NA,NA
1754,2023,4/28/23,LA,NYG,2023,3,73,0,NA,NA
1755,2023,4/28/23,PIT,CAR,2023,3,80,0,NA,NA
1755,2023,4/28/23,CAR,PIT,2023,3,93,0,NA,NA
1755,2023,4/28/23,CAR,PIT,2023,4,132,0,NA,NA
1756,2023,4/28/23,SEA,DEN,2023,3,83,0,NA,NA
1756,2023,4/28/23,DEN,SEA,2023,4,108,0,NA,NA
1782,2023,8/24/23,NYG,ARI,2024,7,226,0,NA,NA
1757,2023,4/28/23,SF,MIN,2023,3,102,0,NA,NA
1757,2023,4/28/23,SF,MIN,2023,5,164,0,NA,NA
1757,2023,4/28/23,SF,MIN,2023,7,222,0,NA,NA
1757,2023,4/28/23,MIN,SF,2023,3,87,0,NA,NA
1758,2023,4/28/23,KC,CIN,2023,3,95,0,NA,NA
1758,2023,4/28/23,KC,CIN,2023,6,217,0,NA,NA
1758,2023,4/28/23,CIN,KC,2023,3,92,0,NA,NA
1759,2023,4/28/23,DET,ARI,2023,4,122,0,NA,NA
1759,2023,4/28/23,DET,ARI,2023,5,168,0,NA,NA
